pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_dist,sy_gaiamag
Kepler-1346 b,Kepler-1346,1,1,1,Transit,2016,Kepler,3.40165668,,1.580,,,,,,6133.00,1.21,1.14,0.040,[Fe/H],4.33,843.7010000,14.4620000
Kepler-1347 b,Kepler-1347,1,1,1,Transit,2016,Kepler,14.00947528,,1.030,,,,,,5193.00,0.79,0.82,-0.110,[Fe/H],4.57,,13.4122000
Kepler-1348 b,Kepler-1348,1,1,1,Transit,2016,Kepler,27.57227420,,1.940,,,,,,5911.00,1.04,1.04,-0.010,[Fe/H],4.42,1213.8200000,14.6789000
Kepler-1349 b,Kepler-1349,1,1,1,Transit,2016,Kepler,2.12823928,,0.700,,,,,,6086.00,1.28,1.16,0.030,[Fe/H],4.29,276.3230000,11.0821000
Kepler-135 b,Kepler-135,1,1,2,Transit,2014,Kepler,6.00253000,0.067000,1.810,,,,,,6090.00,1.27,,,,4.27,621.8550000,12.6789000
Kepler-135 c,Kepler-135,1,1,2,Transit,2014,Kepler,11.44870800,0.103000,1.160,,,,,,6090.00,1.27,,,,4.27,621.8550000,12.6789000
Kepler-1350 b,Kepler-1350,1,1,2,Transit,2016,Kepler,4.49686040,,2.520,,,,,,3827.00,0.53,0.55,-0.060,[Fe/H],4.74,340.6910000,16.2331000
Kepler-1350 c,Kepler-1350,1,1,2,Transit,2016,Kepler,1.76678906,,1.730,,,,,,3827.00,0.53,0.55,-0.060,[Fe/H],4.74,340.6910000,16.2331000
Kepler-1351 b,Kepler-1351,1,1,1,Transit,2016,Kepler,0.91614077,,0.650,,,,,,4439.00,0.67,0.70,-0.030,[Fe/H],4.64,202.7820000,14.0866000
Kepler-1352 b,Kepler-1352,1,1,1,Transit,2016,Kepler,1.87788275,,0.890,,,,,,6118.00,1.16,1.11,0.000,[Fe/H],4.35,670.8290000,13.2495000
Kepler-1353 b,Kepler-1353,1,1,1,Transit,2016,Kepler,24.75439660,,1.800,,,,,,4776.00,0.72,0.76,-0.060,[Fe/H],4.61,593.3840000,15.5059000
Kepler-1354 b,Kepler-1354,1,1,1,Transit,2016,Kepler,76.61337700,,2.970,,,,,,6168.00,1.24,1.16,0.030,[Fe/H],4.31,1119.4500000,14.3687000
Kepler-1355 b,Kepler-1355,1,1,1,Transit,2016,Kepler,1.28958811,,1.460,,,,,,5352.00,0.83,0.88,-0.040,[Fe/H],4.55,911.2690000,15.4520000
Kepler-1356 b,Kepler-1356,1,1,1,Transit,2016,Kepler,0.63400294,,1.530,,,,,,5106.00,0.78,0.82,-0.020,[Fe/H],4.58,845.2280000,15.7195000
Kepler-1357 b,Kepler-1357,1,1,1,Transit,2016,Kepler,3.00913240,,1.280,,,,,,5597.00,0.90,0.93,-0.060,[Fe/H],4.50,1015.6900000,15.2205000
Kepler-1358 b,Kepler-1358,1,1,1,Transit,2016,Kepler,7.06317341,,1.120,,,,,,5181.00,0.79,0.82,-0.080,[Fe/H],4.57,546.9980000,14.5403000
Kepler-1359 b,Kepler-1359,1,1,1,Transit,2016,Kepler,59.49709520,,2.830,,,,,,4709.00,0.72,0.78,0.110,[Fe/H],4.62,614.8590000,15.7534000
Kepler-136 b,Kepler-136,1,2,2,Transit,2014,Kepler,11.57890000,0.106000,2.050,,,,,,6165.00,1.35,,,,4.24,420.8180000,11.7544000
Kepler-136 c,Kepler-136,1,2,2,Transit,2014,Kepler,16.39923500,0.133000,1.990,,,,,,6165.00,1.35,,,,4.24,420.8180000,11.7544000
Kepler-1360 b,Kepler-1360,1,1,1,Transit,2016,Kepler,40.52864130,,3.400,,,,,,6778.00,1.83,1.51,0.060,[Fe/H],4.09,1516.2700000,13.8804000
Kepler-1361 b,Kepler-1361,1,1,1,Transit,2016,Kepler,3.57554956,,0.860,,,,,,5131.00,0.79,0.83,0.000,[Fe/H],4.57,389.1430000,13.9169000
Kepler-1362 b,Kepler-1362,1,1,1,Transit,2016,Kepler,136.20562600,,2.600,,,,,,4857.00,0.74,0.80,0.060,[Fe/H],4.60,731.2980000,15.8246000
Kepler-1363 b,Kepler-1363,1,1,1,Transit,2016,Kepler,2.94194094,,1.250,,,,,,4839.00,0.72,0.76,-0.090,[Fe/H],4.61,541.7140000,15.2923000
Kepler-1364 b,Kepler-1364,1,1,1,Transit,2016,Kepler,13.32196237,,2.150,,,,,,6805.00,1.79,1.49,0.040,[Fe/H],4.10,1056.9000000,13.1858000
Kepler-1365 b,Kepler-1365,1,1,2,Transit,2016,Kepler,7.69993485,,0.920,,,,,,5770.00,1.05,1.00,0.030,[Fe/H],4.39,840.1280000,13.3798000
Kepler-1365 c,Kepler-1365,1,1,2,Transit,2016,Kepler,4.77468005,,0.800,,,,,,5770.00,1.05,1.00,0.030,[Fe/H],4.39,840.1280000,13.3798000
Kepler-1366 b,Kepler-1366,1,1,1,Transit,2016,Kepler,2.16457097,,1.430,,,,,,4070.00,0.60,0.62,-0.020,[Fe/H],4.68,465.8260000,15.8887000
Kepler-1367 b,Kepler-1367,1,1,1,Transit,2016,Kepler,1.57409027,,0.920,,,,,,4106.00,0.60,0.62,-0.060,[Fe/H],4.68,401.4840000,15.5576000
Kepler-1368 b,Kepler-1368,1,1,1,Transit,2016,Kepler,0.67564949,,1.650,,,,,,5906.00,1.08,1.07,0.100,[Fe/H],4.40,1635.8200000,15.8729000
Kepler-1369 b,Kepler-1369,1,1,1,Transit,2016,Kepler,25.87314800,,2.690,,,,,,5761.00,0.99,0.99,0.000,[Fe/H],4.45,1236.5600000,15.3498000
Kepler-137 b,Kepler-137,1,1,2,Transit,2014,Kepler,8.43638700,0.077000,1.470,,,,,,5187.00,0.80,,,,4.55,302.9790000,12.9414000
Kepler-137 c,Kepler-137,1,1,2,Transit,2014,Kepler,18.73575300,0.130000,1.880,,,,,,5187.00,0.80,,,,4.55,302.9790000,12.9414000
Kepler-1370 b,Kepler-1370,1,1,2,Transit,2016,Kepler,20.26416840,,1.840,,,,,,6202.00,1.29,1.19,0.050,[Fe/H],4.29,1004.1000000,13.6743000
Kepler-1370 c,Kepler-1370,1,1,2,Transit,2016,Kepler,7.44142113,,1.270,,,,,,6202.00,1.29,1.19,0.050,[Fe/H],4.29,1004.1000000,13.6743000
Kepler-1371 b,Kepler-1371,1,1,2,Transit,2016,Kepler,3.44620390,,0.730,,,,,,5361.00,0.83,0.87,-0.070,[Fe/H],4.55,515.3340000,13.8344000
Kepler-1371 c,Kepler-1371,1,1,2,Transit,2016,Kepler,2.00541269,,0.640,,,,,,5361.00,0.83,0.87,-0.070,[Fe/H],4.55,515.3340000,13.8344000
Kepler-1372 b,Kepler-1372,1,1,1,Transit,2016,Kepler,1.31155557,,1.270,,,,,,5677.00,0.97,0.98,0.050,[Fe/H],4.46,1303.2200000,15.3493000
Kepler-1373 b,Kepler-1373,1,1,1,Transit,2016,Kepler,1.29123275,,1.160,,,,,,6299.00,1.33,1.22,0.030,[Fe/H],4.27,1699.4600000,14.0717000
Kepler-1374 b,Kepler-1374,1,1,1,Transit,2016,Kepler,10.65276707,,2.290,,,,,,5323.00,0.81,0.85,-0.130,[Fe/H],4.56,1078.4600000,15.9300000
Kepler-1375 b,Kepler-1375,1,1,1,Transit,2016,Kepler,3.30041920,,1.740,,,,,,6704.00,1.78,1.47,0.090,[Fe/H],4.11,1430.8400000,13.7103000
Kepler-1376 b,Kepler-1376,1,1,1,Transit,2016,Kepler,5.30880656,,1.050,,,,,,5659.00,0.97,0.98,0.070,[Fe/H],4.46,868.0560000,14.6721000
Kepler-1377 b,Kepler-1377,1,1,1,Transit,2016,Kepler,0.74092842,,1.250,,,,,,5218.00,0.82,0.86,0.050,[Fe/H],4.55,1146.1000000,15.8887000
Kepler-1378 b,Kepler-1378,1,1,1,Transit,2016,Kepler,11.95398936,,2.200,,,,,,4407.00,0.67,0.70,0.030,[Fe/H],4.63,506.4340000,16.0538000
Kepler-1379 b,Kepler-1379,1,1,1,Transit,2016,Kepler,0.88184115,,1.300,,,,,,5188.00,0.79,0.83,-0.040,[Fe/H],4.57,971.3250000,15.8526000
